iid,date,airline,flightNumber,,dep.airport,incidentType,severity,delay,num.injuries,reported.by,aircraft
i1025,4.11.2023,LA,1605,,DXB,medical,minor,37,1,company,747-8
i1026,3.12.2010,DL,7999,,SEA,mechanical,minor,130,0,mechanic,777-300ER
i1027,20.1.2016,AD,4057,,ORD,crew,critical,32,0,crew,A350-900
i1028,19.8.2013,CZ,5638,,SEA,weather,minor,94,0,pilot,737-400
i1029,5.6.2018,TK,8133,,YYZ,turbulence,critical,64,1,first officer,747-8
i1030,12.4.2012,OZ,1023,,GRU,medical,critical,17,1,mechanic,A380
i1031,22.4.2016,EK,3356,,JFK,weather,minor,91,0,mechanic,BE206-JetRanger
i1032,21.3.2015,VN,2900,,LHR,turbulence,minor,94,0,mechanic,737-400
i1033,22.5.2009,SV,8756,,DXB,faa,critical,64,0,mechanic,A350-900
i1034,17.6.2020,AC,7277,,SYD,medical,major,66,0,mechanic,A350-900
i1035,12.11.2010,IB,2155,,BOM,faa,critical,98,0,pilot,747-8
i1036,12.6.2017,DL,3841,,JFK,security,critical,96,0,mechanic,BE206-JetRanger
i1037,18.8.2017,CZ,3846,,CDG,security,minor,50,0,ground staff,777-300ER
i1038,20.10.2024,AV,4437,,LAS,mechanical,major,68,0,mechanic,747-8
i1039,16.1.2022,AC,135,,DEN,security,critical,44,0,first officer,737-800
i1040,25.2.2014,EY,840,,FRA,faa,major,19,0,pilot,A350-900
i1041,25.8.2023,NH,6858,,JFK,crew,critical,66,0,company,A380
i1042,20.5.2008,MH,6002,,DEN,security,major,77,0,mechanic,737-400
i1043,10.9.2019,AZ,9930,,YYZ,mechanical,major,46,0,company,A350-900
i1044,26.5.2019,AZ,8557,,CDG,crew,critical,51,0,pilot,737-400
i1045,6.3.2013,SU,9348,,SYD,weather,critical,133,0,first officer,BE206-JetRanger
i1046,5.6.2022,CX,1363,,SFO,faa,critical,79,0,pilot,BE206-JetRanger
i1047,25.3.2012,WN,325,,DFW,security,major,90,0,company,737-800
i1048,6.11.2016,MU,8007,,CDG,turbulence,minor,49,0,company,BE206-JetRanger
i1049,5.8.2012,EK,4321,,JFK,security,minor,47,0,ground staff,A321-XLR
i1050,8.5.2017,DY,5655,,LAS,faa,major,23,0,crew,BE206-JetRanger
i1051,18.11.2024,AD,1352,,PEK,turbulence,major,72,0,company,BE206-JetRanger
i1052,12.8.2020,KE,2091,,ORD,crew,minor,25,0,company,BE206-JetRanger
i1053,17.7.2010,AF,6298,,DFW,security,minor,108,0,company,A321-XLR
i1054,14.8.2008,AC,239,,FRA,mechanical,minor,134,0,first officer,737-800
i1055,24.4.2013,MH,728,,LAS,faa,major,105,0,company,737-400
i1056,23.7.2016,QF,6395,,LAS,mechanical,critical,76,0,crew,737-400
i1057,13.6.2023,MU,4517,,LAX,faa,major,75,0,ground staff,A321-XLR
i1058,7.1.2015,QR,6066,,DEN,security,critical,33,0,mechanic,A380
i1059,4.10.2011,U2,4771,,HND,mechanical,major,58,0,mechanic,737-800
i1060,10.5.2013,NH,7831,,JFK,crew,major,68,0,mechanic,737-800
i1061,25.5.2015,DL,4332,,LAS,security,minor,113,0,ground staff,747-8
i1062,25.7.2015,U2,3104,,DFW,faa,minor,93,0,ground staff,737-400
i1063,22.9.2014,QF,585,,YYZ,security,critical,48,0,company,A350-900
i1064,17.6.2024,U2,7288,,JFK,turbulence,major,105,0,first officer,737-800
i1065,17.3.2018,AI,7886,,DFW,crew,minor,100,0,ground staff,A321-XLR
i1066,2.10.2012,U2,4580,,LAX,security,minor,97,0,company,A321-XLR
i1067,22.8.2018,DL,4048,,BOM,security,minor,125,0,pilot,BE206-JetRanger
i1068,7.9.2023,EY,5245,,SYD,mechanical,major,106,0,pilot,A321-XLR
i1069,3.5.2010,AZ,2158,,SYD,turbulence,critical,129,1,company,737-400
i1070,24.9.2010,EY,5471,,CDG,mechanical,minor,76,0,pilot,A321-XLR
i1071,8.4.2021,AY,1119,,YYZ,turbulence,minor,137,1,first officer,A350-900
i1072,9.2.2021,MH,6090,,DEN,security,major,64,0,first officer,747-8
i1073,25.5.2016,DY,4251,,CDG,medical,critical,106,0,mechanic,A350-900
i1074,15.6.2015,SQ,507,,ATL,weather,minor,25,0,ground staff,A380
i1075,27.10.2023,BA,645,,LHR,turbulence,minor,59,0,crew,747-8
i1076,5.10.2012,QR,5307,,FRA,weather,minor,85,0,first officer,A380
i1077,26.3.2014,MH,1902,,SFO,faa,critical,35,0,mechanic,A321-XLR
i1078,14.8.2015,AC,1911,,SFO,weather,minor,66,0,first officer,A380
i1079,27.12.2020,BA,9738,,SYD,weather,major,94,0,mechanic,A350-900
i1080,17.2.2012,AI,8236,,BOM,mechanical,major,62,0,pilot,737-400
i1081,17.6.2020,LH,4518,,LAX,mechanical,critical,48,0,crew,777-300ER
i1082,22.10.2011,G3,6586,,SFO,turbulence,minor,21,0,ground staff,A380
i1083,7.8.2015,FR,367,,LHR,weather,minor,91,0,mechanic,747-8
i1084,10.2.2021,OZ,2432,,SFO,security,major,33,0,crew,747-8
i1085,5.7.2021,FR,1353,,SEA,turbulence,major,120,0,crew,A380
i1086,5.4.2022,KL,6823,,ATL,security,minor,16,0,mechanic,BE206-JetRanger
i1087,7.6.2015,DY,4496,,SYD,weather,critical,65,0,crew,777-300ER
i1088,26.11.2014,SQ,6935,,ATL,medical,critical,69,0,crew,A380
i1089,28.12.2012,AI,2682,,PEK,faa,major,32,0,pilot,A321-XLR
i1090,12.2.2017,EK,7116,,LHR,mechanical,major,65,0,crew,777-300ER
i1091,12.4.2012,MU,1032,,DFW,mechanical,minor,89,0,crew,A350-900
i1092,27.3.2021,TK,8354,,HND,medical,major,115,1,ground staff,737-800
i1093,23.7.2015,AA,6785,,SYD,security,minor,13,0,company,A380
i1094,8.8.2021,TK,1370,,FRA,security,major,15,0,ground staff,A350-900
i1095,5.6.2018,U2,2282,,JFK,mechanical,minor,62,0,mechanic,A350-900
i1096,7.10.2020,AD,8651,,SEA,faa,minor,128,0,mechanic,747-8
i1097,13.10.2010,OZ,858,,LAX,turbulence,critical,82,1,pilot,737-800
i1098,6.7.2010,TG,8321,,SEA,mechanical,minor,112,0,pilot,747-8
i1099,22.4.2017,WN,6896,,SYD,weather,minor,35,0,ground staff,A350-900
i1100,22.10.2021,CX,2886,,ATL,mechanical,major,32,0,ground staff,777-300ER
i1101,3.3.2023,SQ,4613,,SYD,security,critical,111,0,pilot,A380
i1102,22.8.2018,TK,6795,,SFO,faa,major,78,0,first officer,A350-900
i1103,25.11.2011,CZ,6652,,LAX,turbulence,critical,47,0,first officer,BE206-JetRanger
i1104,27.4.2016,LA,9496,,DFW,faa,minor,29,0,first officer,747-8
i1105,9.6.2018,CZ,5961,,LAX,medical,major,96,0,first officer,737-800
i1106,7.5.2008,JL,2249,,ATL,faa,critical,80,0,crew,A380
i1107,8.6.2011,EY,3064,,DFW,turbulence,major,36,0,company,737-800
i1108,16.6.2023,SQ,7489,,JFK,mechanical,critical,24,0,crew,A350-900
i1109,24.3.2015,MU,5377,,SYD,faa,minor,122,0,company,A350-900
i1110,8.10.2015,WN,8775,,SYD,mechanical,major,108,0,pilot,A321-XLR
i1111,10.7.2021,FR,3426,,FRA,mechanical,major,109,0,company,737-800
i1112,11.9.2012,LA,3607,,HND,medical,major,37,1,mechanic,A321-XLR
i1113,5.7.2015,U2,9134,,SFO,faa,major,12,0,pilot,A380
i1114,11.5.2010,AI,7154,,YYZ,crew,critical,121,0,first officer,A321-XLR
i1115,16.3.2023,UA,6040,,SFO,crew,critical,39,0,crew,737-800
i1116,14.7.2024,AF,1034,,GRU,faa,major,124,0,mechanic,A380
i1117,8.5.2012,LH,2382,,BOM,crew,major,37,0,company,737-800
i1118,4.3.2010,UA,1487,,ORD,medical,major,26,0,company,A380
i1119,11.8.2018,NZ,4850,,YYZ,security,major,39,0,mechanic,737-800
i1120,11.2.2015,AI,5048,,JFK,turbulence,major,134,0,mechanic,777-300ER
i1121,13.4.2014,WN,3464,,PEK,weather,minor,127,0,ground staff,A350-900
i1122,12.6.2016,AA,3713,,LAX,turbulence,minor,96,1,mechanic,A321-XLR
i1123,12.5.2010,EY,9523,,SYD,wildlife,major,128,0,pilot,737-400
i1124,12.9.2017,AA,3459,,JFK,crew,minor,126,0,crew,A380
i1125,25.1.2010,EY,3328,,DEN,medical,minor,91,0,mechanic,747-8
i1126,3.6.2017,KL,8324,,DXB,weather,major,124,0,pilot,BE206-JetRanger
i1127,17.8.2014,MH,5831,,YYZ,crew,critical,54,0,mechanic,737-800
i1128,15.7.2022,DL,9331,,FRA,mechanical,minor,119,0,pilot,BE206-JetRanger
i1129,15.6.2012,LH,8375,,DXB,crew,minor,111,0,mechanic,A380
i1130,5.2.2011,UA,8744,,ORD,medical,minor,76,1,ground staff,BE206-JetRanger
i1131,17.5.2017,AY,7001,,SFO,turbulence,major,26,0,first officer,737-400
i1132,17.9.2023,EK,8058,,SEA,crew,major,96,0,mechanic,A380
i1133,17.8.2022,LA,9334,,HND,faa,critical,116,0,ground staff,737-800
i1134,11.4.2009,AI,5135,,DEN,turbulence,critical,124,0,company,BE206-JetRanger
i1135,15.8.2016,WN,5131,,SYD,weather,minor,20,0,mechanic,A321-XLR
i1136,15.10.2022,OZ,4187,,SFO,security,critical,95,0,mechanic,A380
i1137,3.3.2019,QR,1613,,CDG,faa,critical,13,0,ground staff,BE206-JetRanger
i1138,17.10.2018,QF,8453,,ATL,medical,critical,29,1,first officer,747-8
i1139,17.9.2011,AM,5218,,CDG,turbulence,major,27,0,pilot,A350-900
i1140,6.11.2017,G3,3275,,DFW,crew,major,76,0,crew,737-800
i1141,21.5.2014,G3,2057,,PEK,medical,critical,120,0,company,777-300ER
i1142,9.7.2016,LA,2331,,YYZ,faa,minor,64,0,mechanic,A380
i1143,15.7.2011,EK,1045,,DEN,faa,major,44,0,ground staff,777-300ER
i1144,22.11.2008,EY,1089,,PEK,turbulence,major,32,0,ground staff,737-800
i1145,14.1.2013,AA,3399,,JFK,crew,critical,79,0,first officer,A350-900
i1146,7.8.2020,SU,9377,,FRA,medical,major,85,0,first officer,737-400
i1147,2.9.2010,EK,591,,DEN,medical,critical,116,0,crew,A350-900
i1148,17.6.2023,KL,2808,,DXB,security,critical,77,0,pilot,A380
i1149,15.8.2014,QF,2061,,JFK,weather,critical,42,0,crew,A321-XLR
i1150,6.9.2021,G3,6631,,JFK,mechanical,major,75,0,company,747-8
i1151,24.8.2018,AA,1231,,DXB,mechanical,major,108,0,pilot,737-800
i1152,22.11.2014,TG,8679,,ORD,TSA,major,107,0,crew,737-800
i1153,27.6.2013,SU,6976,,ORD,weather,major,92,0,company,777-300ER
i1154,13.5.2013,FR,6163,,LAS,weather,critical,109,0,company,747-8
i1155,4.6.2020,MH,5130,,SYD,medical,major,35,0,crew,A380
i1156,23.8.2008,VN,8731,,SFO,medical,minor,39,1,company,777-300ER
i1157,8.5.2020,SU,4471,,SFO,weather,major,42,0,pilot,A380
i1158,9.10.2014,TK,6773,,LHR,mechanical,major,132,0,first officer,737-400
i1159,11.8.2015,AA,6433,,ATL,faa,minor,62,0,ground staff,777-300ER
i1160,22.4.2017,AI,5271,,LAX,medical,critical,134,1,ground staff,A321-XLR
i1161,7.5.2009,JL,3942,,SYD,faa,minor,69,0,ground staff,A350-900
i1162,14.9.2020,LH,8479,,ORD,crew,minor,89,0,ground staff,A321-XLR
i1163,8.7.2015,CX,1738,,SEA,security,critical,92,0,ground staff,BE206-JetRanger
i1164,4.11.2024,AA,2791,,JFK,faa,major,77,0,mechanic,A321-XLR
i1165,23.4.2020,JL,1730,,FRA,turbulence,major,40,0,first officer,737-800
i1166,3.12.2020,SU,793,,SYD,security,critical,11,0,pilot,737-400
i1167,6.7.2008,U2,7555,,BOM,faa,major,95,0,company,777-300ER
i1168,19.6.2024,AD,1653,,JFK,crew,major,77,0,pilot,A321-XLR
i1169,4.2.2011,AD,4363,,CDG,weather,critical,91,0,ground staff,747-8
i1170,21.11.2021,VN,8551,,LHR,security,critical,77,0,pilot,A350-900
i1171,12.11.2011,SV,4343,,LHR,weather,major,25,0,pilot,747-8
i1172,22.11.2016,AY,7068,,YYZ,turbulence,minor,68,1,company,737-400
i1173,12.3.2014,EK,6446,,LHR,security,critical,58,0,ground staff,A321-XLR
i1174,19.9.2017,IB,5442,,PEK,weather,major,79,0,ground staff,737-400
i1175,24.2.2014,BA,1275,,LHR,mechanical,major,52,0,ground staff,737-800
i1176,8.4.2018,VN,4395,,LAX,medical,critical,86,0,first officer,A380
i1177,8.7.2014,SV,9661,,SEA,medical,critical,97,0,pilot,A380
i1178,12.11.2016,MU,8081,,HND,faa,critical,115,0,first officer,A350-900
i1179,14.2.2017,AI,2379,,ORD,mechanical,major,115,0,company,A321-XLR
i1180,26.11.2019,SQ,3255,,LAS,faa,major,76,0,ground staff,737-400
i1181,12.4.2020,EY,5671,,DEN,faa,critical,123,0,crew,A380
i1182,5.7.2012,UA,4421,,DEN,security,major,119,0,ground staff,737-800
i1183,8.12.2009,TG,1334,,PEK,crew,major,76,0,first officer,747-8
i1184,2.8.2019,AY,973,,DEN,crew,minor,74,0,first officer,737-800
i1185,19.6.2017,QR,720,,ATL,crew,major,110,0,pilot,A321-XLR
i1186,3.11.2023,KL,7244,,ORD,medical,major,84,1,pilot,A380
i1187,12.8.2015,MU,1243,,YYZ,turbulence,critical,100,0,pilot,A321-XLR
i1188,10.8.2016,NZ,5045,,LAS,faa,minor,47,0,mechanic,A350-900
i1189,18.8.2015,TK,9030,,FRA,mechanical,major,36,0,ground staff,777-300ER
i1190,16.2.2016,SV,8668,,JFK,crew,major,108,0,company,A350-900
i1191,3.7.2014,DY,6148,,JFK,security,critical,56,0,pilot,737-800
i1192,28.2.2018,BA,5303,,LAX,mechanical,critical,53,0,mechanic,BE206-JetRanger
i1193,26.7.2019,KE,3551,,GRU,medical,critical,40,0,crew,747-8
i1194,1.2.2014,JL,1894,,SFO,faa,critical,127,0,ground staff,747-8
i1195,1.10.2013,AD,6062,,HND,crew,critical,45,0,crew,A380
i1196,4.8.2013,OZ,8562,,LAS,turbulence,critical,110,0,first officer,777-300ER
i1197,2.3.2014,MH,5420,,FRA,turbulence,minor,100,0,pilot,A321-XLR
i1198,13.9.2018,TK,9642,,SYD,crew,minor,52,0,ground staff,747-8
i1199,19.3.2014,AF,6388,,PEK,faa,minor,39,0,company,777-300ER
i1200,20.6.2012,AD,6897,,DXB,faa,minor,83,0,company,BE206-JetRanger
i1201,19.10.2023,AF,2318,,HND,faa,critical,17,0,pilot,777-300ER
i1202,5.8.2014,KE,724,,HND,faa,minor,120,0,crew,A321-XLR
i1203,8.4.2010,AY,5319,,SFO,security,critical,81,0,mechanic,747-8
i1204,5.6.2012,DY,8749,,ATL,turbulence,major,99,1,pilot,BE206-JetRanger
i1205,1.10.2010,G3,4462,,DXB,turbulence,major,91,0,company,A350-900
i1206,27.3.2017,NZ,1000,,PEK,faa,major,13,0,crew,747-8
i1207,18.10.2016,NZ,4370,,YYZ,turbulence,critical,61,1,ground staff,777-300ER
i1208,15.5.2020,WN,5988,,JFK,turbulence,minor,25,0,company,BE206-JetRanger
i1209,18.11.2021,JL,3582,,SFO,crew,minor,56,0,company,A380
i1210,17.5.2015,NH,1169,,JFK,mechanical,minor,130,0,company,BE206-JetRanger
i1211,22.8.2012,BA,3012,,JFK,mechanical,critical,121,0,pilot,737-400
i1212,27.12.2022,NZ,8954,,LAS,security,critical,84,0,crew,737-800
i1213,1.4.2022,AM,784,,JFK,security,minor,86,0,first officer,A321-XLR
i1214,11.7.2020,EY,6740,,ORD,mechanical,minor,131,0,crew,A380
i1215,14.1.2015,AC,8003,,BOM,security,minor,122,0,ground staff,A380
i1216,8.10.2019,TK,1171,,FRA,medical,minor,86,0,first officer,A350-900
i1217,10.4.2008,MH,2355,,LAS,turbulence,minor,81,0,company,737-800
i1218,8.7.2021,SU,8882,,SFO,security,minor,96,0,ground staff,BE206-JetRanger
i1219,7.1.2019,FR,7461,,DEN,security,minor,120,0,crew,BE206-JetRanger
i1220,2.11.2009,TG,2186,,LAX,crew,major,104,0,crew,A321-XLR
i1221,10.8.2018,MH,1847,,SYD,faa,critical,76,0,mechanic,A350-900
i1222,10.6.2018,VN,1808,,LHR,crew,minor,53,0,pilot,A321-XLR
i1223,10.9.2018,JL,6555,,DFW,weather,minor,100,0,pilot,747-8
i1224,12.6.2018,DL,3217,,LAX,medical,critical,76,0,company,A350-900
i1225,20.9.2010,U2,404,,BOM,medical,minor,133,0,mechanic,747-8
i1226,7.3.2013,BA,166,,ORD,security,critical,55,0,ground staff,777-300ER
i1227,28.7.2012,AV,6555,,LAS,faa,minor,81,0,company,A350-900
i1228,21.4.2013,AY,6719,,SFO,medical,minor,68,0,first officer,737-400
i1229,15.5.2011,NZ,5956,,SYD,security,major,84,0,first officer,777-300ER
i1230,22.5.2008,UA,3991,,SEA,crew,critical,100,0,mechanic,737-400
i1231,14.2.2021,AF,4301,,ORD,turbulence,minor,43,0,ground staff,A321-XLR
i1232,27.3.2016,MH,2336,,DEN,medical,critical,16,0,ground staff,737-800
i1233,25.8.2023,MU,5095,,LHR,security,critical,65,0,crew,A321-XLR
i1234,19.8.2014,VN,7071,,SEA,crew,major,27,0,crew,747-8
i1235,6.11.2020,AZ,8239,,BOM,security,major,101,0,company,A350-900
i1236,3.8.2023,IB,2903,,SEA,turbulence,minor,56,0,pilot,737-800
i1237,11.5.2018,MH,1246,,LAX,medical,critical,29,0,company,A350-900
i1238,18.10.2022,AV,9198,,BOM,weather,major,80,0,mechanic,A321-XLR
i1239,3.2.2012,AV,733,,JFK,medical,major,136,1,crew,737-400
i1240,18.9.2024,AM,5374,,SFO,faa,critical,35,0,crew,737-400
i1241,2.11.2020,G3,2893,,SYD,crew,minor,35,0,company,A380
i1242,27.2.2011,AI,5872,,DXB,turbulence,critical,131,1,pilot,A380
i1243,2.6.2013,VN,1454,,PEK,security,minor,109,0,mechanic,A380
i1244,25.6.2018,AV,237,,HND,turbulence,major,33,1,first officer,BE206-JetRanger
i1245,27.6.2015,MH,9941,,HND,mechanical,major,58,0,mechanic,737-800
i1246,27.8.2023,AA,4193,,JFK,faa,major,82,0,mechanic,737-400
i1247,22.2.2019,AM,9471,,CDG,weather,minor,123,0,company,737-400
i1248,18.7.2014,KE,5377,,LAS,crew,critical,52,0,ground staff,777-300ER
i1249,25.3.2022,AV,9313,,PEK,mechanical,major,126,0,ground staff,747-8
i1250,4.10.2015,VN,9859,,PEK,turbulence,critical,44,0,crew,737-400
i1251,9.11.2022,AZ,9517,,ORD,faa,minor,81,0,first officer,737-800
i1252,8.9.2018,OZ,3577,,DEN,medical,major,102,0,pilot,747-8
i1253,20.10.2012,UA,124,,GRU,faa,critical,125,0,first officer,747-8
i1254,28.8.2012,AC,7941,,FRA,faa,minor,136,0,mechanic,BE206-JetRanger
i1255,13.9.2008,SU,6764,,GRU,crew,critical,98,0,mechanic,A350-900
i1256,11.4.2015,AD,6670,,BOM,weather,minor,93,0,company,A321-XLR
i1257,24.9.2018,NZ,1929,,HND,crew,critical,62,0,crew,A380
i1258,20.3.2018,AZ,2774,,PEK,security,critical,47,0,mechanic,A321-XLR
i1259,7.7.2014,KL,7522,,FRA,mechanical,minor,39,0,mechanic,A380
i1260,10.12.2024,NH,9552,,YYZ,security,minor,125,0,mechanic,BE206-JetRanger
i1261,4.5.2020,QF,9396,,JFK,crew,minor,49,0,mechanic,A380
i1262,25.1.2019,NH,7800,,YYZ,medical,minor,33,0,pilot,737-400
i1263,18.2.2016,WN,4081,,CDG,faa,minor,88,0,mechanic,A321-XLR
i1264,12.3.2016,LH,4233,,PEK,medical,critical,95,0,crew,737-800
i1265,20.8.2021,DL,1156,,DFW,weather,critical,92,0,mechanic,A321-XLR
i1266,10.7.2016,BA,3153,,LAS,faa,major,132,0,pilot,737-800
i1267,16.4.2015,WN,7690,,SYD,crew,major,96,0,pilot,A380
i1268,20.7.2019,NH,3842,,DEN,medical,minor,125,1,mechanic,737-800
i1269,2.9.2013,MH,2723,,DEN,mechanical,critical,77,0,first officer,A321-XLR
i1270,7.4.2019,DL,6300,,CDG,medical,minor,14,0,first officer,737-800
i1271,25.2.2019,SU,7270,,BOM,faa,major,55,0,first officer,777-300ER
i1272,13.5.2022,SU,5846,,ATL,weather,major,124,0,ground staff,A380
i1273,6.9.2018,AC,9876,,LAS,medical,major,85,0,crew,737-400
i1274,22.3.2024,AD,3947,,ORD,crew,critical,118,0,company,737-400
i1275,8.12.2012,QR,190,,DFW,turbulence,critical,78,0,pilot,A350-900
i1276,21.1.2009,CX,2694,,JFK,turbulence,critical,134,0,first officer,A350-900
i1277,3.7.2018,UA,402,,SFO,crew,minor,73,0,first officer,A321-XLR
i1278,22.2.2010,AZ,1083,,DEN,medical,critical,118,1,company,747-8
i1279,14.7.2010,AM,8900,,SYD,mechanical,major,20,0,first officer,737-800
i1280,20.2.2010,AA,7320,,ORD,crew,critical,79,0,mechanic,A380
i1281,26.7.2022,DY,1605,,LHR,crew,critical,43,0,company,A350-900
i1282,25.1.2013,WN,2176,,DXB,security,critical,48,0,crew,BE206-JetRanger
i1283,16.5.2010,LH,6684,,BOM,medical,critical,62,1,ground staff,A380
i1284,12.4.2017,WN,8071,,GRU,security,major,102,0,crew,737-800
i1285,26.1.2009,AM,6862,,HND,crew,critical,96,0,ground staff,A321-XLR
i1286,5.11.2015,CX,6670,,YYZ,mechanical,major,128,0,crew,A321-XLR
i1287,17.9.2009,OZ,8332,,SEA,security,critical,37,0,pilot,737-400
i1288,1.4.2020,LH,4233,,LAS,turbulence,minor,11,0,ground staff,737-400
i1289,10.4.2016,MU,4343,,FRA,mechanical,minor,25,0,ground staff,BE206-JetRanger
i1290,28.11.2011,DL,4388,,SFO,weather,minor,104,0,ground staff,777-300ER
i1291,18.8.2023,BA,570,,ATL,medical,minor,63,0,first officer,747-8
i1292,14.10.2008,KE,3885,,SEA,medical,minor,122,0,mechanic,777-300ER
i1293,10.9.2020,NZ,1648,,LAX,mechanical,major,126,0,company,747-8
i1294,2.5.2009,TG,1140,,DXB,mechanical,minor,53,0,mechanic,737-800
i1295,17.11.2020,NH,2782,,DEN,faa,minor,14,0,company,A350-900
i1296,18.12.2020,CZ,9391,,SEA,security,minor,135,0,first officer,747-8
i1297,4.4.2009,TK,1440,,ORD,medical,major,39,1,first officer,737-400
i1298,19.7.2010,OZ,9168,,CDG,faa,major,136,0,ground staff,A350-900
i1299,16.6.2021,U2,4851,,LHR,crew,major,98,0,ground staff,A350-900
i1300,16.7.2011,SU,736,,LHR,security,minor,19,0,company,737-800
i1301,7.5.2023,CX,5168,,HND,turbulence,major,73,0,first officer,BE206-JetRanger
i1302,9.5.2013,OZ,2177,,SEA,security,major,15,0,mechanic,737-400
i1303,11.9.2012,IB,5459,,GRU,security,critical,131,0,first officer,A321-XLR
i1304,20.4.2015,QR,6061,,LAX,medical,major,53,0,mechanic,737-800
i1305,2.5.2016,TK,8551,,GRU,faa,minor,107,0,crew,747-8
i1306,6.7.2012,TG,3788,,SFO,turbulence,major,61,1,mechanic,737-400
i1307,23.7.2024,AF,6541,,ORD,security,critical,130,0,first officer,737-400
i1308,4.2.2018,KE,6978,,FRA,crew,minor,23,0,ground staff,BE206-JetRanger
i1309,16.2.2021,UA,7333,,ATL,medical,minor,28,0,company,737-400
i1310,25.1.2012,IB,5330,,FRA,mechanical,minor,74,0,pilot,737-400
i1311,1.11.2020,AY,7625,,LHR,crew,major,107,0,company,747-8
i1312,20.5.2020,LA,8305,,BOM,security,critical,53,0,mechanic,BE206-JetRanger
i1313,28.6.2015,AV,4339,,PEK,medical,critical,36,0,company,737-800
i1314,22.10.2013,SQ,9062,,PEK,medical,minor,17,0,first officer,737-800
i1315,16.3.2017,SV,3216,,BOM,turbulence,major,123,0,first officer,BE206-JetRanger
i1316,19.6.2009,SV,3891,,GRU,security,major,124,0,mechanic,737-800
i1317,12.3.2010,IB,5606,,LHR,weather,minor,106,0,mechanic,BE206-JetRanger
i1318,14.3.2013,AM,4836,,DXB,mechanical,major,76,0,first officer,737-800
i1319,1.11.2009,EY,3261,,DEN,security,critical,18,0,company,A350-900
i1320,19.4.2013,AV,4081,,ATL,turbulence,major,91,0,pilot,A321-XLR
i1321,26.5.2009,SQ,9222,,GRU,weather,minor,124,0,pilot,737-400
i1322,15.10.2021,DL,7240,,SYD,security,major,135,0,pilot,A321-XLR
i1323,5.1.2010,AF,7470,,JFK,medical,minor,113,0,first officer,A380
i1324,14.6.2022,AD,6265,,HND,medical,major,14,0,mechanic,A321-XLR
i1325,21.9.2022,KL,1141,,SFO,mechanical,minor,73,0,ground staff,747-8
i1326,18.4.2019,AV,2306,,DXB,mechanical,minor,124,0,ground staff,A321-XLR
i1327,11.7.2018,AI,5175,,ORD,crew,major,137,0,pilot,777-300ER
i1328,5.3.2011,QF,6054,,SFO,weather,critical,33,0,crew,747-8
i1329,22.2.2017,IB,7339,,SYD,turbulence,major,16,0,pilot,747-8
i1330,21.5.2017,AY,9038,,JFK,crew,critical,113,0,mechanic,737-800
i1331,18.1.2016,FR,3724,,DEN,crew,critical,126,0,pilot,777-300ER
i1332,15.8.2021,WN,3156,,JFK,mechanical,minor,42,0,crew,777-300ER
i1333,9.9.2013,BA,1108,,SYD,crew,major,45,0,company,777-300ER
i1334,5.11.2016,G3,7428,,HND,turbulence,minor,128,1,pilot,777-300ER
i1335,17.7.2010,QF,997,,LAX,faa,minor,46,0,company,777-300ER
i1336,14.7.2013,BA,1333,,SYD,medical,critical,105,0,first officer,A321-XLR
i1337,12.2.2019,AM,4018,,LAX,crew,major,92,0,ground staff,A321-XLR
